Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 47.16     20.00    20.00                             winning_instances(std::vector<int, std::allocator<int> > const&, int)
 46.22     39.61    19.60 5641061676     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  4.95     41.71     2.10   400002     0.01     0.01  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<unsigned long*, int>(unsigned long*, unsigned long*, int const&)
  1.39     42.30     0.59        2   295.22   295.22  std::vector<int, std::allocator<int> >::~vector()
  0.21     42.39     0.09   400000     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.05     42.41     0.02   399662     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.02     42.42     0.01   812374     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true> const&)
  0.02     42.43     0.01   200014     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract()
  0.02     42.44     0.01   200001     0.00     0.00  std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >::end()
  0.02     42.45     0.01       14     0.71     0.86  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
  0.00     42.45     0.00  1600152     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00     42.45     0.00   857556     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  0.00     42.45     0.00   812726     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00     42.45     0.00   812726     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00     42.45     0.00   812726     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00     42.45     0.00   812712     0.00     0.00  std::hash<int>::operator()(int) const
  0.00     42.45     0.00   812712     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00     42.45     0.00   812712     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true> const&)
  0.00     42.45     0.00   812374     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00     42.45     0.00   800004     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00     42.45     0.00   800001     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.00     42.45     0.00   714652     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr()
  0.00     42.45     0.00   714652     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr()
  0.00     42.45     0.00   714652     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr()
  0.00     42.45     0.00   629980     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  0.00     42.45     0.00   629980     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>&)
  0.00     42.45     0.00   612712     0.00     0.00  int const& std::__detail::_Identity::operator()<int const&>(int const&) const
  0.00     42.45     0.00   600001     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
  0.00     42.45     0.00   412712     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
  0.00     42.45     0.00   412712     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr() const
  0.00     42.45     0.00   412712     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<int, false> const*, unsigned long) const
  0.00     42.45     0.00   412712     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_v() const
  0.00     42.45     0.00   412712     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr() const
  0.00     42.45     0.00   400014     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(int const&, unsigned long) const
