Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 76.66     12.45    12.45                             _mcount_private
 11.33     14.29     1.84                             __fentry__
  1.85     14.59     0.30 400011413     0.00     0.00  std::bitset<200000ull>::test(unsigned long long) const
  1.85     14.89     0.30        1     0.30     1.95  winning_instances(std::vector<int, std::allocator<int> > const&, int)
  1.60     15.15     0.26 400011413     0.00     0.00  std::bitset<200000ull>::_Unchecked_test(unsigned long long) const
  1.48     15.39     0.24 400031413     0.00     0.00  std::_Base_bitset<6250ull>::_S_whichword(unsigned long long)
  1.29     15.60     0.21 400031413     0.00     0.00  std::_Base_bitset<6250ull>::_S_maskbit(unsigned long long)
  1.11     15.78     0.18 400031413     0.00     0.00  std::_Base_bitset<6250ull>::_S_whichbit(unsigned long long)
  1.05     15.95     0.17 400031413     0.00     0.00  std::bitset<200000ull>::_M_check(unsigned long long, char const*) const
  0.86     16.09     0.14 400102826     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long long)
  0.86     16.23     0.14 400011413     0.00     0.00  std::_Base_bitset<6250ull>::_M_getword(unsigned long long) const
  0.06     16.24     0.01    81637     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  0.00     16.24     0.00   302778     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00     16.24     0.00    97799     0.00     0.00  int const& std::__detail::_Identity::operator()<int const&>(int const&) const
  0.00     16.24     0.00    80756     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long long, unsigned long long) const
  0.00     16.24     0.00    80745     0.00     0.00  std::hash<int>::operator()(int) const
  0.00     16.24     0.00    80745     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00     16.24     0.00    80745     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.00     16.24     0.00    80003     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.00     16.24     0.00    77799     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
  0.00     16.24     0.00    77799     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr() const
  0.00     16.24     0.00    77799     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_v() const
  0.00     16.24     0.00    77799     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr() const
  0.00     16.24     0.00    60745     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00     16.24     0.00    60010     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  0.00     16.24     0.00    60010     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_M_get()
  0.00     16.24     0.00    60003     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
  0.00     16.24     0.00    60000     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::size() const
  0.00     16.24     0.00    60000     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__small_size_threshold()
  0.00     16.24     0.00    60000     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<int> >::__small_size_threshold()
  0.00     16.24     0.00    40745     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&, unsigned long long) const
  0.00     16.24     0.00    40011     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long long) const
  0.00     16.24     0.00    40011     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long long, unsigned long long) const
  0.00     16.24     0.00    40000     0.00     0.00  std::bitset<400000ull>::_M_check(unsigned long long, char const*) const
  0.00     16.24     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long long) const
  0.00     16.24     0.00    40000     0.00     0.00  std::_Base_bitset<12500ull>::_S_maskbit(unsigned long long)
  0.00     16.24     0.00    40000     0.00     0.00  std::_Base_bitset<12500ull>::_S_whichbit(unsigned long long)
  0.00     16.24     0.00    40000     0.00     0.00  std::_Base_bitset<12500ull>::_S_whichword(unsigned long long)
  0.00     16.24     0.00    37054     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const
  0.00     16.24     0.00    37054     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_M_cget() const
  0.00     16.24     0.00    37054     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.00     16.24     0.00    37054     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_S_equals(unsigned long long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00     16.24     0.00    29997     0.00     0.00  operator new(unsigned long long, void*)
  0.00     16.24     0.00    29994     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr()
  0.00     16.24     0.00    29994     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr()
  0.00     16.24     0.00    29994     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr()
  0.00     16.24     0.00    23475     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_key_equals(int const&, std::__detail::_Hash_node_value<int, false> const&) const
  0.00     16.24     0.00    23475     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals(int const&, unsigned long long, std::__detail::_Hash_node_value<int, false> const&) const
  0.00     16.24     0.00    20893     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&) const
  0.00     16.24     0.00    20002     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::end()
  0.00     16.24     0.00    20001     0.00     0.00  std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >::end()
  0.00     16.24     0.00    20001     0.00     0.00  std::__detail::operator!=(std::__detail::_Node_iterator_base<int, false> const&, std::__detail::_Node_iterator_base<int, false> const&)
  0.00     16.24     0.00    20000     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long long, int const&, unsigned long long) const
  0.00     16.24     0.00    20000     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long long, int const&, unsigned long long) const
